gpu,model,scenario_input_len,scenario_parallel,ttft,gen_tokens_per_second,total_time,total_concurrent_time
A2_x2,Qwen3-8B,20000,2,25.15,9.21,40.32,41.07
A2_x2,Qwen3-8B,20000,5,94.77,4.05,190.67,202.15
A2_x2,Qwen3-8B,25000,1,22.17,16.63,28.18,28.63
A2_x2,Qwen3-8B,25000,2,34.04,8.47,52.09,52.96
A2_x2,Qwen3-8B,25000,5,72.4,4.5,111.67,131.44
A2_x2,Qwen3-8B,30000,1,28.45,16.03,34.69,35.2
A2_x2,Qwen3-8B,30000,2,43.45,7.74,65.48,66.48
A2_x2,Qwen3-8B,30000,5,182.51,3.6,308.24,389.75
T4_x1,Qwen3-0.6B,1000,1,0.08,130.85,0.84,1.42
T4_x1,Qwen3-0.6B,1000,2,0.2,108.38,1.12,1.76
T4_x1,Qwen3-0.6B,1000,5,0.32,85.77,1.48,2.38
T4_x1,Qwen3-0.6B,5000,1,0.58,111.11,1.48,2.1
T4_x1,Qwen3-0.6B,5000,2,0.85,73.21,2.24,2.91
T4_x1,Qwen3-0.6B,5000,5,2.04,47.29,4.31,5.18
T4_x1,Qwen3-0.6B,10000,1,1.53,47.01,3.66,4.28
T4_x1,Qwen3-0.6B,10000,2,2.22,34.81,5.24,5.93
T4_x1,Qwen3-0.6B,10000,5,5.12,23.12,9.98,10.86
T4_x1,Qwen3-0.6B,15000,1,3.0,47.84,5.09,5.74
T4_x1,Qwen3-0.6B,15000,2,5.99,40.84,8.43,9.15
T4_x1,Qwen3-0.6B,15000,5,10.2,14.06,18.79,19.76
T4_x1,Qwen3-0.6B,20000,1,5.16,46.24,7.32,7.97
T4_x1,Qwen3-0.6B,20000,2,7.67,26.29,12.32,13.29
T4_x1,Qwen3-0.6B,20000,5,15.22,9.17,30.24,31.18
T4_x1,Qwen3-0.6B,25000,1,7.96,47.16,10.08,10.77
T4_x1,Qwen3-0.6B,25000,2,11.86,22.17,18.6,19.33
T4_x1,Qwen3-0.6B,25000,5,24.82,16.52,38.71,47.75
T4_x1,Qwen3-0.6B,30000,1,11.48,45.65,13.67,14.45
T4_x1,Qwen3-0.6B,30000,2,17.17,18.65,26.09,26.87
T4_x1,Qwen3-0.6B,30000,5,36.53,13.67,49.82,66.82
T4_x1,Qwen3-1.7B,1000,1,0.15,65.97,1.67,2.32
T4_x1,Qwen3-1.7B,1000,2,0.31,58.38,2.02,2.77
T4_x1,Qwen3-1.7B,1000,5,0.52,48.84,2.58,3.46
T4_x1,Qwen3-1.7B,5000,1,0.95,61.06,2.59,3.22
T4_x1,Qwen3-1.7B,5000,2,1.37,43.43,3.73,4.39
